text,label,sentiment
ahh im gonna go to bed and sleep wats left of star wars day sigh,0,negative
nthn muchmad this damn rain,0,negative
what me im kuku waiting for is the long list of hushpuppi partners that hes gonna expose soon his crime partners we see on social media and we think make their money in a legit way e go sweet me die hushpuppi e be things my guy,2,positive
london dev meet awesomeness,2,positive
if you just do like jew nah wahala oh my eyes dey shine like them too one nearly pick my phone as we dey drag bus i just dey look the hand i ask am kilosele him say wetin happen,0,negative
i hate it when i get home from work and knock out then wake up at midnite and i cant go back to sleep someone entertain me please,0,negative
ok please its a joke o dont send account number or ask how cause me sef no know anything i never see k before sef where i wan see million,1,neutral
you voice oooo you know voice oooo na wetin dey won do them go do lawless country,2,positive
na the dressing dey vex me pass wey super k suppose dey supply better brainwork with correct agbada,2,positive
my younger sister mate just called me yeye boy ode n im hear smiling like a real ode just becoz of boobs n ass who do me if na my sis call me ode i for don pick offence,2,positive
i dey vex say them scam my guy you dey tell me say your name na jenifer happy birthday quennyjoe more life cc thysquarenation ft and quennyjoe delascollections,1,neutral
am i dying why am i always sick,0,negative
sis thank youthank god say e still dey sef lol happy new year in advance oo,0,negative
out of the shower wish i was goin surfing but nooo im goin to eat chinese in a bit,0,negative
dem no wan give us light o government no wan support our new lifestyle,0,negative
abeg how i wan dye my beards white which dye is better,1,neutral
e go come shock am sey dem fire am after weeks,2,positive
he's definately a strong lil guy,2,positive
na we we,1,neutral
found guitar tabs i had from years ago lol gunna play em again,2,positive
i remember when ben was a cute curly little toddler whose world revolved round his mum at 11 he's a smart arse like his big brothers,0,negative
i dont like the sound of uk search engine tax the tax will no doubt be paid by advertisers ultimately,0,negative
twitter seems to be the clear cut winner,2,positive
taaa de whine person pikin for there,0,negative
lots of cool ppl gt,2,positive
abeg no vex how can i ask a girl out on twitter fine girls full this twitter ooo shooo the kind fyn fyn profile pictures i dey see ehnn any tips on how to toast a girl on twitter,0,negative
i miss the sf fog watching it roll in when you have nothing to do yeah baby,0,negative
lammyng dey vex bruv,2,positive
e be like sy all of una for dy mad tonight lets fvcking see the votes,2,positive
'cause people are haters,0,negative
whats this nonsense we call traffic sef which kind wahala be this na sin to wan go your house,2,positive
if i promise you relationship last night abeg na shayo o cause i don dey see baby good morning,2,positive
follow us if you're a fan of mcfly,2,positive
abeg where una dey see this kind love,0,negative
na wa everything na vex now be calming down na,2,positive
u are silly and i am mad u left me and acelin,0,negative
thrift na expensive word na,1,neutral
i know i knowim an aussie from the land down under we eat vegemite lol hmmm tim tamsohh yeh thats some good stuff,2,positive
great evening to all of my new followersi only ask that you interact and be yourself,2,positive
i love mindy she is my favorite employee,2,positive
i knew the case would be thrown out due to lack of evidence it is just a sad situation like they say cow wey no get tail na god dey help am chase flies just like a boxer shouldnt leave the decision with the judges never leave it in the hands of the judiciary sad,2,positive
na how i go end up for cell dey scare me pass omo i hustled cab when she got herself pay make e drop her for her house mehn god,2,positive
remember my parents,0,negative
hellooo agaain tweeps,2,positive
i woke up really early and can't get back to sleep sundays are supposed to be for sleeping in,0,negative
wowoo but were una dey see dis money ooooooo am here looking for iphone you are already using pro,0,negative
rudd should keep it it offline hence my surprise virgo's being kloset kinksters i'm sun virg with virg in 4 other bits,2,positive
people wey no get money dey para for person wey get billions social media dey give some people mind sha tf,2,positive
why e be say na yhu get belle but na our gals and wives dey help carry am,2,positive
a sunny day brights up the day,2,positive
bae called dis morning asking me to com spend de day with her but i told her i gad be work she said on an average day hw much do u make i told her to k aunty sent k to me saying she hav paid me for de day wit a bae lik dis y wont we leave in peace n harmony,2,positive
good morning yall,2,positive
as you see me so i want to be like don jazzy but i dey wait for baba god mek e pick my call until then i dont want you to look at me like i am stingy i no get ni,1,neutral
e nuh easy like that since yiu comot naija just dey cast on a daily,2,positive
see as sanwoolu dey chance me for eko bridge ahhh suffer dey this lagos i dey comot,0,negative
your link is broken sobs,0,negative
taking apple pie shots at tonysmy fav,2,positive
come and see cat wey chop pass your own but why do you guys shade mangu people na youre not being fair to us fa,2,positive
cooking burgers on the grill for dinner right now as i tweet along,2,positive
na rejoice na omoh the mama bin just fine,1,neutral
im off to bed ill catch you guys on tomorrow thin positive thoughts about me if you like and keep it real night ppl,2,positive
omo you dey yankee still dey say make i dey pay you monthly salaryagain i have useless friends,2,positive
the package arrived this morning,1,neutral
omg i haven't been on here in ages well i'm starting to come back slowly but surely 3,0,negative
this one willie obiano just dey position road roller machine motor grader for different parts of the state shey na make e be like say him dey work osodieme ga machi kwa ya nti ozo,2,positive
that una bet don click since last year check am for livescores na draws dem play,0,negative
bro we lucky say we no dey ghana again dem for don tear our shirt for bru common room cc,2,positive
omoh dmca removal dey pain o blow szn don go the full album fit go sefwe had a nice run either ways,2,positive
e be like say our daddy don dey ment his handle is down down,2,positive
abeg somebody dey ask me how much be sky for area,1,neutral
uncle calm downno be when we see if e reach us we do the needful th embelembe way na meanwhile cheated on me yesterday e dey pain me,2,positive
i heart rvfd,2,positive
lmaooooo na wetin nigeria dey do to us be that sha,2,positive
on top this matter see as i dey chop insults i don change na,2,positive
ive gotta go to school soon why i dont even like smoothies,0,negative
looks like this will be my last,0,negative
thx for the reblip,2,positive
i support multiple projects any given time so rarely am regular scrum participant i needed to be this one,0,negative
im not talking about rema peace of mind or falz or michael jackson im only here to say pick one as e dey hot and have it delivered to you for free price frame n frame n please rt help my startup grow,0,negative
and go dey do like tom and jerry uppandan spectators go dey comment ratings go dey pile me i just need,1,neutral
today and i lectured in mass but we both had red hair and the priest made fun of us,0,negative
been a while i have been very enthralled in maplestory and warsow much love to those that want it guessim going back to games bb o,2,positive
e no easy,2,positive
go kene shrine go chop meat me sef dey go dia now,0,negative
should be going out but wants to stay put to participate in experiment might have to do it by txt no photo part,0,negative
no be small thing e be like e don dey on the border o,1,neutral
daughter's 2nd birthday on friday so party on sunday and just going for days out,2,positive
apparently you dont have time for ur fans,0,negative
i got a parking ticket and i was parked in front of my house,0,negative
like bro i don wait for this fight tire dem don too postpone am,2,positive
shit rainyseason is here and im friggin scared of thunder guess i wont be able to sleep tonight,0,negative
abeg do your edit na this option i use chop the last time banks share am,0,negative
i fail for not bringing my pop bottle for discount refills just,0,negative
why do i watch titanic when i know how sad it's going to be,0,negative
so all of una wen dei find babe una area and school or place of work no reach again youve finished tasting dos ones o di e gwu,2,positive
no full episodes of discovery channel shows,0,negative
even me wey dey baby pep with fraud talk no fit talk that kind thing,1,neutral
not a good end to night magic lose and i got really sick,0,negative
wow i just posted that pic saying no girl on your list can send you k now before i know it alert don enter vtu don land and one is angry with me cause i refuse to give her my acct details had to delete it im so emotional right now i feel loved i appreciate yall,2,positive
pediatrics wardround consultant madam this ur pikin don get measles before mother na only once e don convulse consultant,2,positive
serbia loves you,2,positive
dey press the weyrey like bread wey dey wan buy,2,positive
serious wahala for people wey no dey use vsp botanics dont procrastinate rush now and place your orders on vsp botanics ig page and join the glowing skin gang the quality is premium and effective for your skin,0,negative
how to get your ex back worked for me,2,positive
