text,label,sentiment
my dog is in the pet's hospital i miss him,0,negative
whats wrong with u people namoney was transferred to med person debited and d money is not in my acctzenith which way na una no sort d first one now e don happen again which way zenithwhy una dey theif person like dis,2,positive
yes he is goodnight,2,positive
so why aren't we having kd this year highlight of my summer,0,negative
ergh i really need some hayfever tablets i'm sure hayfever is a punishment for hating winter so much,0,negative
to be honest i thought everybody dey marry for dis december na so i mistakenly go print my wedding invitation card na for morning i realize say i no dey among people wey go marry this year,0,negative
my phone kept on dying on me no warranty,0,negative
how far omo ologo we dey argument background like this ooo safe your boi i beg just simple question i beg how round you fit do cause me don put my client nunber on top you say you fit do round with nice tone,2,positive
please fix the insider stream for tomorrow,0,negative
a whole bole to add onions she dey do finger like say na salt she dey put for rice,2,positive
is waiting to get picked up to go to ikea,0,negative
me i don send out deliveries already i dey bed dey enjoy ac come let me employ you to be frying puff puff,0,negative
listening to more shuffle then going to bed,2,positive
how can such a big fruit only have so little to eat,2,positive
don't worry i'll get the bug,2,positive
is sad to see his girlfriend go on saturday,0,negative
ur not helping sir dey don score dem at least i got dt one right,2,positive
god i need to change my lifestyle i cant be harassing policemen anyhow this kind of stronghead na bullet fit end am o but categorically speaking if we dey for open area and policeman try try hit me to god ma ko igbaju fun,2,positive
happy i get to hear lupe's new songsucks that it got leaked but it makes me happy to rapif only i had some chance to be signed,0,negative
finally in the cittay shoe shopping at the moment focused lolol,2,positive
parte after parte young but might na me wey dey popo ur anty afrostarstv smallingoriade paramountkomedy laughpillscomedy mtvbasewest,1,neutral
my throat is so swollen that my chin is disappearing ugh this sucks i can't even swollow without tons of pain,0,negative
i miss my brandon,0,negative
if he's still lazy to patch back den its ok lor dun bother,2,positive
imade cut small soap for me and tell your daddy to please send me the nylon of his soap wey he don use finish i go put am for water make e foam small,2,positive
trey songz trey songz trey songz,2,positive
is super excited to go to va's for the weekend,2,positive
if chelsea cough eh na dem go dey wish dem ban man city for next seasons,2,positive
wish i had something to do,0,negative
i love the new song,2,positive
starbucks dark berry mocha frapp refreshing,2,positive
giving your gf a xbox 360 big mistake peggle all the time what about some jori time,0,negative
b you should call noo noo and sing him that,2,positive
can think of few things sexy but they include baby oil you ready get lubed up,2,positive
im so happy im not a reserved person if not no be wetin i dey talk i go dey talk by now but all i know is that,0,negative
this one don finish eba she con de serve hot looks if you dont geddifok,2,positive
dem dey draw us who give dem pencil,2,positive
still your old joker kinda selfim gladi kinda miss it,0,negative
going to bed so tired i cant think strait,0,negative
like where i wan dey see k monthly where i dey work,2,positive
exhausted more than usual this morning,0,negative
my favorite tooin fact one of my very fave songs of all time they've been closing with it but not here,0,negative
made a beautiful dreams hun,2,positive
i don see lot of men but na only you you smile the brightest as e dey goi go dey love you my baybe,0,negative
engineer ds biran is going to be great trust me that head no dey shine for nothing na glory dey radiate abi wetin you feel about our engineer head,0,negative
morning to all hope its a nicer day where you are compaired to here it's going to rain all day and the next 2 days,0,negative
bohemin rhapsody was good but knights of cydonia was poignant got the best out of the musers,2,positive
go here and chat with me,2,positive
for i am crucified with christ and yet i live kynitekia 3rev20,2,positive
thanksi'll need some luck too and i must cut down on the diet soda and replace it with water sheeshgonna be tough,2,positive
why do i never know when there's a new chapter remind me tomorrow please no time now,0,negative
saw an old friend today,2,positive
you're so lucky haha nopes none everyday is 850 till 3,0,negative
dah im in love please if its not grass im not playing boot wey go make you get skills you never thought you had,0,negative
e be like say na from tope the k gist emanate from people never kana say na em be the originator he for don chop drags since morning cc,0,negative
haha i'm watching take that at the o2 oh i miss it,0,negative
omo na to enter gym chop iron like who dey starve next ooo summer borry no summer money yet,2,positive
no but he will be doing pics he has the best body i can't wait,2,positive
how you want make e be sef,1,neutral
like if i knew the reason for the fight sef e for betterall i see is adults acting like kidsthrowing insults around like its the right thing to doit pains me too but what can we dowe can only read and waka pass,2,positive
ah that's an old idea and already sounds topdown centralized academic in it's obviousness google sleep tight,2,positive
na tapos na recruitment process ng ibang companies and konti lang hinire mali ata sagot ko ano ba dapat sasabihin,0,negative
ijay see ehn im tired my brother just called erica polite ashewo untop day she no gree for laycon e pain sha,1,neutral
lmao na so dem take thief my phone i go crash for class wey no get light with chima,2,positive
na really balanced diet later dem go chill for one uncompleted building den enjoy correct siesta low key scammers,2,positive
so i no fit get knee injury in peace these fools dey say i don dey chase girls wtf,2,positive
robin hood at a community theatre i'm doing it for a friend of mine but hopefully more shows crossing fingers,2,positive
bros abeg my helper fit dey online no let am pass me by im broke please help me,2,positive
na all our laptop and phone batteries don spoil finish despite say we no dey comoylt am for light,2,positive
cant find my itouch cice,0,negative
itll end in chop i chop way,1,neutral
ayeeven the kingdom of god suffereth violence since people have chosen to be adamant nigeria una de see una mate,2,positive
not looking forward to work at all today,0,negative
shoulda come see me,0,negative
where's all the rain we were supposed to have today not complaining tho it's lovely amp bright very happy making,2,positive
selling my phone tomoroww will by a iphone,2,positive
he din text me he din call me and he forget about me,0,negative
lol e don tey i deserve to be rushed,2,positive
omo i just dey remember say i shazam song wey been dey play when i won buy bread and egg from aboki yesterday i see am for apple music and i jam am i think ive lost it,0,negative
whenever i see fine girls picture on the tl i retweet and drop a comment sharperly sharperly e no easy to be a fine girl abeg,0,negative
quotyear onequot without my lady,0,negative
abeg how i wan dye my beards white which dye is better,1,neutral
follow me plz trying to get to 100000000 followers,2,positive
i'm thinking i'll buy it it's purdy if i had an iphone i'd definitely get it for that,2,positive
so is mine,0,negative
lol hope say na you give chiamaka hand in marriage to the husband o,0,negative
yeahh i think so i haven't seen you lot in ages so it should be good,2,positive
wetin ur concern dey doif no be footballer na lie bros,2,positive
is doing athena's hws lmao ayos,2,positive
been a beautiful and productive day gonna hit the sack now will leave you with the quote of the day,2,positive
to be honest i couldnt give a flying fuckaroo who wins britains got talent had a nice daypissed off now tho fucks saaaaaake,0,negative
and go dey do like tom and jerry uppandan spectators go dey comment ratings go dey pile me i just need,1,neutral
nothing gt my flow so tight chris brown should get his ass kick,2,positive
wetin dey happen for betis that scoreline changed quickly chai would love to see jovicbenzema combo who say make i fleet o,2,positive
nitey nite rest well,2,positive
the way dey find one goal these days ehn you go think sey him sev support goal wey kanu dem do that time ni,2,positive
i love when boys spew bs about cars and they think i don't know any better 'cause i'm a girl,2,positive
where can we vote i love you and your songs wish i could watch you in person in the future,2,positive
well sha lagos na wah who de cry de see road,1,neutral
about to get started on my mid term i have to admit im a little nervous,0,negative
oooh shiiiiit breaks already over,0,negative
can i have a shout out and promise to listen using listen again in the morning as i have a early start need to get somewhere,0,negative
i cannot believe it is the last day of spring break,0,negative
ha youre the boss na i no fit vex,0,negative
oluwa wetin dey lovulate,1,neutral
